SKU,Weight (g)
8904223815682.00,210
8904223815859.00,165
8904223815866.00,113
8904223815873.00,65
8904223816214.00,120
8904223816665.00,102
8904223817273.00,65
8904223817334.00,170
8904223817501.00,350
8904223818430.00,165
8904223818478.00,350
8904223818553.00,115
8904223818577.00,150
8904223818591.00,120
8904223818614.00,65
8904223818638.00,137
8904223818645.00,137
8904223818669.00,240
8904223818683.00,121
8904223818706.00,127
8904223818713.00,120
8904223815804.00,160
8904223818454.00,232
8904223818751.00,113
8904223818850.00,240
8904223818935.00,120
8904223818874.00,100
8904223818997.00,490
8904223818942.00,133
8904223819024.00,112
8904223819031.00,112
8904223818980.00,110
8904223819017.00,115
8904223819093.00,150
8904223819109.00,100
8904223819116.00,30
8904223819161.00,115
8904223819147.00,240
8904223819130.00,350
8904223818881.00,140
8904223818898.00,140
8904223819277.00,350
8904223819284.00,350
8904223819345.00,165
8904223819352.00,165
8904223819239.00,290
8904223819246.00,290
8904223819253.00,290
8904223819291.00,112
8904223819437.00,552
GIFTBOX202001,500
GIFTBOX202004,500
GIFTBOX202002,500
8904223819369.00,170
GIFTBOX202003,500
8904223819123.00,250
GIFTBOX202002,500
8904223819468.00,240
8904223819260.00,130
8904223819321.00,600
8904223819338.00,600
8904223819505.00,210
8904223819499.00,210
8904223819512.00,210
8904223819543.00,300
SACHETS001,10
